,bibex,bib,filename,Object Unique ID,Level,file_name,File use,Type of Resource,Language,Language2,Title,Subtitle,Translation,Variant,Variant2,Variant3,Variant4,Corporate:Creator,Corporate:Creator2,Corporate:Creator3,Corporate:Creator4,Corporate:Creator5,Corporate:author,Corporate:enacting jurisdiction,Corporate:issuing boday,Corporate:issuing body,Corporate:issuing body 2,Corporate:issuing body 3,Corporate:printer,Corporate:publisher,Date:creation,Date:production,Identifier:OCLC number,Note:,Note:2,Note:3,Note:4,Note:5,Note:6,Note:7,Note:description,Note:material details,Note:physical description,Note:publication,Note:publication2,Note:table of contents,Person:Creator,Person:Creator2,Person:Creator3,Person:Creator4,Person:Creator5,Person:Creator6,Person:Creator7,Person:Creator8,Person:author,Person:issuing body,Person:issuing body 2,Person:issuing body 3,Person:printer,Person:printer2,Subject:genre,Subject:genre2,Subject:geographic,Subject:topic,Subject:topic2,Unnamed: 63
99,b35484287,b3548428,n,N65537#58,Object,,,text,,,"Patente de la Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario, fundada en la Iglesia Parrochial de el Pueblo de Tepotzotlan",,,,,,,Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario,,,,,,,,,,,,,1767?,,,Caption title,"Text begins: Yo ... Mayordomo de la Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario, fundada en la Iglesia Parrochial de este Pueblo de Tepotzotlan, certifico, como recibí por Herman[a] de ella á ... en ... dias del mes de ... del año de 17 ...""",Printed form with manuscript insertions: Joachin del Castillo ... [Herman]a ... Gertrudes Basques ... 17 ... mayo ... 67a ... [signed] Joachin del Capillo ..., inscribed on verso by Anto. Medinaceli.,,,,,,text,1 sheet ([1] page) : illustrations , 31 x 21 cm,"Mexico, La Cofradia",,,"Castillo, Joachin del","Medinaceli, Anto",,,,,,,,,,,,,,,,
100,b35484287,b3548428,b35484287_1.tif,N65537#58,Object,,,text,,,"Patente de la Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario, fundada en la Iglesia Parrochial de el Pueblo de Tepotzotlan",,,,,,,Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario,,,,,,,,,,,,,1767?,,,Caption title,"Text begins: Yo ... Mayordomo de la Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario, fundada en la Iglesia Parrochial de este Pueblo de Tepotzotlan, certifico, como recibí por Herman[a] de ella á ... en ... dias del mes de ... del año de 17 ...""",Printed form with manuscript insertions: Joachin del Castillo ... [Herman]a ... Gertrudes Basques ... 17 ... mayo ... 67a ... [signed] Joachin del Capillo ..., inscribed on verso by Anto. Medinaceli.,,,,,,text,1 sheet ([1] page) : illustrations , 31 x 21 cm,"Mexico, La Cofradia",,,"Castillo, Joachin del","Medinaceli, Anto",,,,,,,,,,,,,,,,
101,b35484287,b3548428,b35484287_2.tif,N65537#58,Object,,,text,,,"Patente de la Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario, fundada en la Iglesia Parrochial de el Pueblo de Tepotzotlan",,,,,,,Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario,,,,,,,,,,,,,1767?,,,Caption title,"Text begins: Yo ... Mayordomo de la Cofradia del Santissimo Sacramento y Nuestra Señora del Rosario, fundada en la Iglesia Parrochial de este Pueblo de Tepotzotlan, certifico, como recibí por Herman[a] de ella á ... en ... dias del mes de ... del año de 17 ...""",Printed form with manuscript insertions: Joachin del Castillo ... [Herman]a ... Gertrudes Basques ... 17 ... mayo ... 67a ... [signed] Joachin del Capillo ..., inscribed on verso by Anto. Medinaceli.,,,,,,text,1 sheet ([1] page) : illustrations , 31 x 21 cm,"Mexico, La Cofradia",,,"Castillo, Joachin del","Medinaceli, Anto",,,,,,,,,,,,,,,,
102,b35484676,b3548467,b35484676_1.tif,N65537#59,Object,,,text,,,"Patente de hermano de la ilustre Cofradia del glorioso S. Dimas y Nrâ Srà. de la Candelaria, fundada canonicamente en la Iglesia del Sagrado Monasterio de Nrâ Srâ. de la Natividad de Regina Coeli de esta Imperial Ciudad de México",,,,,,,Cofradia de San Dimas y Nuestra Señora de la Candelaria,,,,,,,,,,,,,178-,,,Caption title,"""El infrascrito Tesorero Mayordomo de esta Ilustre Cofradia, Certifico en la forma que puedo, que se recivió por Herman ... á ... quien dió por su asiento dos reales ... en la Ciudad de México à ... de ... de 178 ... [signed] Juan Josef Illescas, Tesorero.""","Special Collections has two conjugate copies, both printed on the same sheet as imposed on the press",,,,,,text,1 sheet ([1] page) : illustrations , 31 x 21 cm,"Mexico, La Cofradia",,,"Illescas, Juan Josef",,,,,,,,,,,,,,,,,,
103,b35484718,b3548471,b35484718_1.tif,N65537#60,Object,,,text,,,"Patente de la Cofradia y Ermandad de el glorioso San Dimas y Nuestra Sra. de la Candelaria, fundada en la Iglesia de Religiosas de Santa Maria de Regina Coeli con autoridad ordinaria",,,,,,,Cofradia de San Dimas y Nuestra Señora de la Candelaria,,,,,,,,,,,,,177-,,,Caption title,"""El Tesorero de Esta Cofradia: Certifico en la forma, que puedo que se recibió por Herman ... â ... quien dió por su asiento doce reales ... en Megico á ... del mes de ... de 177 ...""",Printed form with spaces left blank,,,,,,text,1 sheet ([1] page) : illustrations , 31 x 21 cm,"Mexico, La Cofradia",,,,,,,,,,,,,,,,,,,,,
104,b35485140,b3548514,b35485140_1.tif,N65537#61,Object,,,text,,,Recibí la limosna de ... para ... missa que se dirà en el Altar de Anima perpetuo del glorioso Apsotol San Bartholomé,,,,,,,Catedral de México,,,,,,,,,,,,,1788?,,,Title from first lines of text,"Signed: Br. D. Lucas Garcia de Castro, Colector y Mayordomo",Printed form with manuscript insertions: 88 ... 3 ps ... seis ... por las Almas de Da. Mathiana y Dn. Ignacio Ferrer.,,,,,,text,1 sheet ([1] page) : illustrations , 73 x 105 mm,"Mexico, La Iglesia",,,"Garcia de Castro, Lucas",,,,,,,,,,,,,,,,,,
105,b35485486,b3548548,b35485486_1.tif,N65537#62,Object,,,text,,,"Dirijo á V. ... exemplares del bando que mandé publicar en México con fecha de 13 de julio último ... reemplazos de gente para los regimientos de milicias provincales y el destino á bageles de vagos, ociosos y mal entretenidos",,,Dirijo a Ud. ... ejemplares del bando,Dirijo á V.S. dos exemplares,,,New Spain,"New Spain, Viceroy (1794-1798 : Branciforte)",,,,,,,,,,,,1797,,,Title from first lines of text,"""... Orizaba, 23 de agosto de 1797.""",Signed with rubric: Branciforte,Inserted in holograph in first line: S. dos [exemplares], day of month and rubric in holograph,Inscribed: Al Illtre. Ayuntamto. de Orizava.,,,,text,1 sheet ([1] page) , 31 x 21 cm,"México, El Gobierno",,,"Branciforte, Miguel de la Grúa y Talamanca, marqués de, approximately 1755-1812",,,,,,,,,,,,,,,,,
106,b35485590,b3548559,n,N65537#63,Object,,,text,,,Miguel la Grua Talamanca y Branciforte ... Virrey ... Deseoso S.M. de ocurrir á los desórdenes ... Para evitar los graves inconvenientes que en las sedes vacantes origina la costumbre de ordenar mas número de sacerdotes del que se debiera,,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)",,,,,,,,,,,,1797,,,Title from first lines of text,Signed with rubric: Branciforte,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,,text,1 sheet ([1] page) , 42 x 31 cm,"México, El Gobierno",,,"Branciforte, Miguel de la Grúa y Talamanca, marqués de, approximately 1755-1812","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,,,
107,b35485590,b3548559,b35485590_1.tif,N65537#63,Object,,,text,,,Miguel la Grua Talamanca y Branciforte ... Virrey ... Deseoso S.M. de ocurrir á los desórdenes ... Para evitar los graves inconvenientes que en las sedes vacantes origina la costumbre de ordenar mas número de sacerdotes del que se debiera,,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)",,,,,,,,,,,,1797,,,Title from first lines of text,Signed with rubric: Branciforte,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,,text,1 sheet ([1] page) , 42 x 31 cm,"México, El Gobierno",,,"Branciforte, Miguel de la Grúa y Talamanca, marqués de, approximately 1755-1812","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,,,
108,b35485590,b3548559,b35485590_2.tif,N65537#63,Object,,,text,,,Miguel la Grua Talamanca y Branciforte ... Virrey ... Deseoso S.M. de ocurrir á los desórdenes ... Para evitar los graves inconvenientes que en las sedes vacantes origina la costumbre de ordenar mas número de sacerdotes del que se debiera,,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)",,,,,,,,,,,,1797,,,Title from first lines of text,Signed with rubric: Branciforte,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,,text,1 sheet ([1] page) , 42 x 31 cm,"México, El Gobierno",,,"Branciforte, Miguel de la Grúa y Talamanca, marqués de, approximately 1755-1812","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,,,
109,b35485723,b3548572,n,N65537#64,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... El Exmô. señor don Miguel Cayetano Solér me comunica ... me dice el señor don Mariano Luis de Urquijo ... El Rey ... llama muy particularmente la atencion la importante obra del puerto que se está construyendo en la Ciudad de Tarragona ... Principado de Cataluña ... para America y entradas de embarcaciones procedentes de aquella parte",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,Signed with rubric: Felix Berenguer de Marquina,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cayetano Soler, Miguel","Urquijo, Mariano Luis de, 1768-1817","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,
110,b35485723,b3548572,b35485723_1.tif,N65537#64,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... El Exmô. señor don Miguel Cayetano Solér me comunica ... me dice el señor don Mariano Luis de Urquijo ... El Rey ... llama muy particularmente la atencion la importante obra del puerto que se está construyendo en la Ciudad de Tarragona ... Principado de Cataluña ... para America y entradas de embarcaciones procedentes de aquella parte",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,Signed with rubric: Felix Berenguer de Marquina,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cayetano Soler, Miguel","Urquijo, Mariano Luis de, 1768-1817","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,
111,b35485723,b3548572,b35485723_2.tif,N65537#64,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... El Exmô. señor don Miguel Cayetano Solér me comunica ... me dice el señor don Mariano Luis de Urquijo ... El Rey ... llama muy particularmente la atencion la importante obra del puerto que se está construyendo en la Ciudad de Tarragona ... Principado de Cataluña ... para America y entradas de embarcaciones procedentes de aquella parte",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,Signed with rubric: Felix Berenguer de Marquina,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cayetano Soler, Miguel","Urquijo, Mariano Luis de, 1768-1817","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,
112,b35485814,b3548581,n,N65537#65,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... por quanto el Exmô. señor don Antonio Cornel, Secretario de Estado ... El Virrey del Nuevo Reyno de Granada dió cuenta de una insurreccion en la Plaza de Cartagena de Indias, proyectado por algunos negros esclavos con el objecto de apoderarse del Castillo de San Lázaro ... se observe rigorosamente el real decreto ... sobre introduccion de negros",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,"""... Dado en México á 5 de mayo de 1801.""",Signed: Felix Berenguer de Marquina,Seal of Ferdinand VII on verso.,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cornel, Antonio",,,,,,,,,,,,,,,,,
113,b35485814,b3548581,b35485814_1.tif,N65537#65,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... por quanto el Exmô. señor don Antonio Cornel, Secretario de Estado ... El Virrey del Nuevo Reyno de Granada dió cuenta de una insurreccion en la Plaza de Cartagena de Indias, proyectado por algunos negros esclavos con el objecto de apoderarse del Castillo de San Lázaro ... se observe rigorosamente el real decreto ... sobre introduccion de negros",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,"""... Dado en México á 5 de mayo de 1801.""",Signed: Felix Berenguer de Marquina,Seal of Ferdinand VII on verso.,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cornel, Antonio",,,,,,,,,,,,,,,,,
114,b35485814,b3548581,b35485814_2.tif,N65537#65,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... por quanto el Exmô. señor don Antonio Cornel, Secretario de Estado ... El Virrey del Nuevo Reyno de Granada dió cuenta de una insurreccion en la Plaza de Cartagena de Indias, proyectado por algunos negros esclavos con el objecto de apoderarse del Castillo de San Lázaro ... se observe rigorosamente el real decreto ... sobre introduccion de negros",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,"""... Dado en México á 5 de mayo de 1801.""",Signed: Felix Berenguer de Marquina,Seal of Ferdinand VII on verso.,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cornel, Antonio",,,,,,,,,,,,,,,,,
115,b35485887,b3548588,n,N65537#66,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... El Exmô. Señor don Miguel Cayetano Soler, con fecha de 18 de julio del año prózîmo pasado me comunica la real orden del tenor siguiente ... El Rey se halla con positivas noticias de la inobservancia que ha tenido la real orden de 20 de abril del año próximo pasado , por la que se prohibió hacer el comercio de esos dominios en buques",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,"""... Dado en México á 11 de septiembre de 1801.""",Signed with rubric: Felix Berenguer de Marquina,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cayetano Soler, Miguel",,,,,,,,,,,,,,,,
116,b35485887,b3548588,b35485887_1.tif,N65537#66,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... El Exmô. Señor don Miguel Cayetano Soler, con fecha de 18 de julio del año prózîmo pasado me comunica la real orden del tenor siguiente ... El Rey se halla con positivas noticias de la inobservancia que ha tenido la real orden de 20 de abril del año próximo pasado , por la que se prohibió hacer el comercio de esos dominios en buques",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,"""... Dado en México á 11 de septiembre de 1801.""",Signed with rubric: Felix Berenguer de Marquina,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cayetano Soler, Miguel",,,,,,,,,,,,,,,,
117,b35485887,b3548588,b35485887_2.tif,N65537#66,Object,,,text,,,"Don Felix Berenguer de Marquina, Teniente General de la Real Armada, Virrey ... El Exmô. Señor don Miguel Cayetano Soler, con fecha de 18 de julio del año prózîmo pasado me comunica la real orden del tenor siguiente ... El Rey se halla con positivas noticias de la inobservancia que ha tenido la real orden de 20 de abril del año próximo pasado , por la que se prohibió hacer el comercio de esos dominios en buques",,,,,,,New Spain,"Spain, Sovereign (1814-1833 : Ferdinand VII)","New Spain, Viceroy (1800-1803 : Marquina)",,,,,,,,,,,1801,,,Title from first lines of text,"""... Dado en México á 11 de septiembre de 1801.""",Signed with rubric: Felix Berenguer de Marquina,Signed in manuscript: Josef Igno Negreyros y Soria, seal of Ferdinand VII on verso.,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Berenguer de Marquina, Félix, 1738-1826","Cayetano Soler, Miguel",,,,,,,,,,,,,,,,
118,b3549444x,b3549444,n,N65537#67,Object,,,text,,,"La Real Audiencia de Mexico, Gobernadora del Reino de Nueva España : Continuando los zelosos ministros del Rey Nuestro Señor sus fieles desvelos con el objeto de cortar en su raiz los perniciosos efectos de la seduccion de nuestros enemigos, han remitido á este Superior Gobierno una proclama de Joseph Napoleon, que se dice Rey de España",,,Continuando los zelosos ministros del Rey Nuestro Señor sus fieles desvelos,,,,"New Spain, Real Audiencia (Mexico City)","Spain, Sovereign (1814-1833 : Ferdinand VII)",,,,,,,,,,,,1810,,,Title from first lines of text,"""... México, 16 de junio de 1810.""","Signed with rubric: Pedro Catani, Guillermo de Aguirre, Tomas Gonzalez Calderon",Signed in holograph: Josef Igno. Negreyros y Soria,Seal of Ferdinand VII on verso.,,,,text,1 sheet ([1] page) , 31 x 21 cm,"México, El Gobierno",,,"Catani, Pedro","Aguirre, Guillermo de","Gonzalez Calderon, Tomas","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,,
119,b3549444x,b3549444,b3549444x_1.tif,N65537#67,Object,,,text,,,"La Real Audiencia de Mexico, Gobernadora del Reino de Nueva España : Continuando los zelosos ministros del Rey Nuestro Señor sus fieles desvelos con el objeto de cortar en su raiz los perniciosos efectos de la seduccion de nuestros enemigos, han remitido á este Superior Gobierno una proclama de Joseph Napoleon, que se dice Rey de España",,,Continuando los zelosos ministros del Rey Nuestro Señor sus fieles desvelos,,,,"New Spain, Real Audiencia (Mexico City)","Spain, Sovereign (1814-1833 : Ferdinand VII)",,,,,,,,,,,,1810,,,Title from first lines of text,"""... México, 16 de junio de 1810.""","Signed with rubric: Pedro Catani, Guillermo de Aguirre, Tomas Gonzalez Calderon",Signed in holograph: Josef Igno. Negreyros y Soria,Seal of Ferdinand VII on verso.,,,,text,1 sheet ([1] page) , 31 x 21 cm,"México, El Gobierno",,,"Catani, Pedro","Aguirre, Guillermo de","Gonzalez Calderon, Tomas","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,,
120,b3549444x,b3549444,b3549444x_2.tif,N65537#67,Object,,,text,,,"La Real Audiencia de Mexico, Gobernadora del Reino de Nueva España : Continuando los zelosos ministros del Rey Nuestro Señor sus fieles desvelos con el objeto de cortar en su raiz los perniciosos efectos de la seduccion de nuestros enemigos, han remitido á este Superior Gobierno una proclama de Joseph Napoleon, que se dice Rey de España",,,Continuando los zelosos ministros del Rey Nuestro Señor sus fieles desvelos,,,,"New Spain, Real Audiencia (Mexico City)","Spain, Sovereign (1814-1833 : Ferdinand VII)",,,,,,,,,,,,1810,,,Title from first lines of text,"""... México, 16 de junio de 1810.""","Signed with rubric: Pedro Catani, Guillermo de Aguirre, Tomas Gonzalez Calderon",Signed in holograph: Josef Igno. Negreyros y Soria,Seal of Ferdinand VII on verso.,,,,text,1 sheet ([1] page) , 31 x 21 cm,"México, El Gobierno",,,"Catani, Pedro","Aguirre, Guillermo de","Gonzalez Calderon, Tomas","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,,,,,
121,b35498808,b3549880,n,N65537#68,Object,,,text,,,Credencial de elector de partido : Credencial de elector de provincia,,,Credencial de elector de provincia,,,,Mexico,,,,,,,,,,,,,1821,,,Caption titles,"Text of each printed form begins: En la Ciudad, Villa ó Pueblo de ... á ... del mes de ... del año de ..., primero de la Independencia, en la Sala del Ayuntamiento","The forms include the requirements for each office according to the Plan of Iguala, also known as the Tratado de Córdoba (1821)",,,,,,text,1 sheet ([2] pages) , 30 x 21 cm,"México, El Gobierno",,,,,,,,,,,,,,,,,,,,,
122,b35498808,b3549880,b35498808_1.tif,N65537#68,Object,,,text,,,Credencial de elector de partido : Credencial de elector de provincia,,,Credencial de elector de provincia,,,,Mexico,,,,,,,,,,,,,1821,,,Caption titles,"Text of each printed form begins: En la Ciudad, Villa ó Pueblo de ... á ... del mes de ... del año de ..., primero de la Independencia, en la Sala del Ayuntamiento","The forms include the requirements for each office according to the Plan of Iguala, also known as the Tratado de Córdoba (1821)",,,,,,text,1 sheet ([2] pages) , 30 x 21 cm,"México, El Gobierno",,,,,,,,,,,,,,,,,,,,,
123,b35498808,b3549880,b35498808_2.tif,N65537#68,Object,,,text,,,Credencial de elector de partido : Credencial de elector de provincia,,,Credencial de elector de provincia,,,,Mexico,,,,,,,,,,,,,1821,,,Caption titles,"Text of each printed form begins: En la Ciudad, Villa ó Pueblo de ... á ... del mes de ... del año de ..., primero de la Independencia, en la Sala del Ayuntamiento","The forms include the requirements for each office according to the Plan of Iguala, also known as the Tratado de Córdoba (1821)",,,,,,text,1 sheet ([2] pages) , 30 x 21 cm,"México, El Gobierno",,,,,,,,,,,,,,,,,,,,,
124,b35498833,b3549883,b35498833_1.tif,N65537#69,Object,,,text,,,Credencial de diputado a córtes,,,,,,,Mexico,,,,,,,,,,,,,1822,,,Caption title,"Text of printed form begins: En la Ciudad de ... á ... de ... del año de 1822, segundo de la Independencia, en la Sala Capitular del Ayuntamiento","The forms include the requirements for the office according to the Plan of Iguala, also known as the Tratado de Córdoba (1821)",,,,,,text,1 sheet ([1] page) , 30 x 21 cm,"México, El Gobierno",,,,,,,,,,,,,,,,,,,,,
125,b35500529,b3550052,b35500529_1.tif,N65537#70,Object,,,text,,,"D. Gaspar Antonio Lopez, Teniente Coronel del Exercito Ymperial ... Gefe Superior-Político de las Quatro Provincias Internas Orientales ... La Regencia del Imperio se ha servido dirigirme el decreto que sigue ... La Soberana Junta Provisional Gubernativa ... ha tomado en consideracion el bando publicado en la Ciudad de Querétaro a 30 de junio de este año por D. Agustin de Iturbide ... alcabala ... reducido á solo el seis por ciento",,,,,,,"Mexico, Emperor (Iturbide : 1822-1823)","Mexico, Secretaría de Estado","Mexico, Ministerio de Justicia y Negocios Eclesiásticos",,,,,,,,,,,1821,,,Title from first lines of text,"""... México a los 28 dias del mes de Noviembre de 1821 ...""","Signed: Agustin de Iturbide, Manuel de la Barcena, Isidro Yañez, Manuel Velazquez de Leon, Gaspar Lopez (with rubric)",Signed in holograph: Fran[cisco] Antonio Padilla.,,,,,text,1 sheet ([1] page) , 43 x 31 cm,"Monterrey, Mexico, El Gobierno",,,"Mexico, Soberana Junta Provisional Gubernativa","López, Gaspar Antonio","Iturbide, Agustín de, 1783-1824","Bárcena, Manuel de la","Yañez, Isidro","Velásquez de León, Manuel","Padilla, Francisco Antonio",,,,,,,,,,,,
126,b35500839,b3550083,n,N65537#71,Object,,,text,,,"Don Ramon Gutierrez del Mazo, Gefe Político de esta Capital ... ... Superintendente de Hacienda Pública ... me dice ... José Manuel Herrera, Secretario de Negocios y Relaciones Interiores y Exteriores ... la Soberana Junta Provisional Gubernativa ha decretado ... 1. Que el juramento y solemne proclamacion de la independencia de este Imperio se verifique en esta Capital el dia veinte y siete del corriente octubre",,,,,,,"Mexico, Emperor (Iturbide : 1822-1823)","Mexico, Ministerio de Relaciones Interiores y Esteriores",,,,,,,,,,,,1821,,,Title from first lines of text,"""... Dado en México á 13 de octubre de 1821 ...""","Signed: Agustin de Iturbide, Manuel de la Barcena, Isidro Yañez, Manuel Velazquez de Leon, José Manuel de Herrera, Ramon Gutierrez del Mazo (with rubric)",Signed in holograph by Joseph Ignacio Negreyros y Soria.,Seal of Ferdinand VII on verso.,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Mexico, Soberana Junta Provisional Gubernativa","Gutierrez del Mazo, Ramon","Iturbide, Agustín de, 1783-1824","Bárcena, Manuel de la","Yañez, Isidro","Velásquez de León, Manuel","Herrera, José Manuel de, 1776?-1831","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,
127,b35500839,b3550083,b35500839_1.tif,N65537#71,Object,,,text,,,"Don Ramon Gutierrez del Mazo, Gefe Político de esta Capital ... ... Superintendente de Hacienda Pública ... me dice ... José Manuel Herrera, Secretario de Negocios y Relaciones Interiores y Exteriores ... la Soberana Junta Provisional Gubernativa ha decretado ... 1. Que el juramento y solemne proclamacion de la independencia de este Imperio se verifique en esta Capital el dia veinte y siete del corriente octubre",,,,,,,"Mexico, Emperor (Iturbide : 1822-1823)","Mexico, Ministerio de Relaciones Interiores y Esteriores",,,,,,,,,,,,1821,,,Title from first lines of text,"""... Dado en México á 13 de octubre de 1821 ...""","Signed: Agustin de Iturbide, Manuel de la Barcena, Isidro Yañez, Manuel Velazquez de Leon, José Manuel de Herrera, Ramon Gutierrez del Mazo (with rubric)",Signed in holograph by Joseph Ignacio Negreyros y Soria.,Seal of Ferdinand VII on verso.,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Mexico, Soberana Junta Provisional Gubernativa","Gutierrez del Mazo, Ramon","Iturbide, Agustín de, 1783-1824","Bárcena, Manuel de la","Yañez, Isidro","Velásquez de León, Manuel","Herrera, José Manuel de, 1776?-1831","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,
128,b35500839,b3550083,b35500839_2.tif,N65537#71,Object,,,text,,,"Don Ramon Gutierrez del Mazo, Gefe Político de esta Capital ... ... Superintendente de Hacienda Pública ... me dice ... José Manuel Herrera, Secretario de Negocios y Relaciones Interiores y Exteriores ... la Soberana Junta Provisional Gubernativa ha decretado ... 1. Que el juramento y solemne proclamacion de la independencia de este Imperio se verifique en esta Capital el dia veinte y siete del corriente octubre",,,,,,,"Mexico, Emperor (Iturbide : 1822-1823)","Mexico, Ministerio de Relaciones Interiores y Esteriores",,,,,,,,,,,,1821,,,Title from first lines of text,"""... Dado en México á 13 de octubre de 1821 ...""","Signed: Agustin de Iturbide, Manuel de la Barcena, Isidro Yañez, Manuel Velazquez de Leon, José Manuel de Herrera, Ramon Gutierrez del Mazo (with rubric)",Signed in holograph by Joseph Ignacio Negreyros y Soria.,Seal of Ferdinand VII on verso.,,,,text,1 sheet ([1] page) , 43 x 31 cm,"México, El Gobierno",,,"Mexico, Soberana Junta Provisional Gubernativa","Gutierrez del Mazo, Ramon","Iturbide, Agustín de, 1783-1824","Bárcena, Manuel de la","Yañez, Isidro","Velásquez de León, Manuel","Herrera, José Manuel de, 1776?-1831","Negreyros y Soria, Joseph Ignacio",,,,,,,,,,,
